***********************************************************
******Simulation Results Single Damper System**************

Time	Disp	Vel	Acc	Force
0.17400000	-44.57972813	0.29130081	-1.02595503	144.24321400
0.17600000	-45.16436346	0.28922190	-1.05287018	147.86132324
0.17800000	-45.74489514	0.28708966	-1.07927973	151.40989015
0.18000000	-46.32121551	0.28490512	-1.10518168	154.88865822
0.18200000	-46.89321893	0.28266928	-1.13057415	158.29739065
0.18400000	-47.46080179	0.28038316	-1.15545541	161.63587024
0.18600000	-48.02386252	0.27804780	-1.17982387	164.90389927
0.18800000	-48.58230160	0.27566421	-1.20367810	168.10129938
0.19000000	-49.13602156	0.27323343	-1.22701678	171.22791140
0.19200000	-49.68492698	0.27075649	-1.24983877	174.28359527
0.19400000	-50.22892450	0.26823442	-1.27214303	177.26822986
0.19600000	-50.76792284	0.26566826	-1.29392869	180.18171287
0.19800000	-51.30183278	0.26305905	-1.31519498	183.02396064
0.20000000	-51.83056718	0.26040783	-1.33594132	185.79490804
0.20200000	-52.35404097	0.25771563	-1.35616721	188.49450828
0.20400000	-52.87217117	0.25498350	-1.37587232	191.12273281
0.20600000	-53.38487687	0.25221249	-1.39505644	193.67957112
0.20800000	-53.89207926	0.24940363	-1.41371950	196.16503057
0.21000000	-54.39370160	0.24655796	-1.43186154	198.57913628
0.21200000	-54.88966923	0.24367653	-1.44948275	200.92193092
0.21400000	-55.37990959	0.24076037	-1.46658344	203.19347455
0.21600000	-55.86435219	0.23781054	-1.48316405	205.39384445
0.21800000	-56.34292863	0.23482806	-1.49922514	207.52313494
0.22000000	-56.81557258	0.23181398	-1.51476741	209.58145722
0.22200000	-57.28221981	0.22876934	-1.52979166	211.56893917
0.22400000	-57.74280815	0.22569516	-1.54429883	213.48572518
0.22600000	-58.19727748	0.22259249	-1.55828996	215.33197597
0.22800000	-58.64556980	0.21946235	-1.57176625	217.10786836
0.23000000	-59.08762912	0.21630577	-1.58472897	218.81359514
0.23200000	-59.52340156	0.21312377	-1.59717953	220.44936486
0.23400000	-59.95283524	0.20991739	-1.60911945	222.01540160
0.23600000	-60.37588038	0.20668763	-1.62055038	223.51194481
0.23800000	-60.79248921	0.20343552	-1.63147405	224.93924910
0.24000000	-61.20261601	0.20016207	-1.64189233	226.29758406
0.24200000	-61.60621708	0.19686829	-1.65180718	227.58723401
0.24400000	-62.00325074	0.19355518	-1.66122069	228.80849785
0.24600000	-62.39367735	0.19022374	-1.67013502	229.96168880
0.24800000	-62.77745924	0.18687497	-1.67855247	231.04713427
0.25000000	-63.15456075	0.18350986	-1.68647543	232.06517554
0.25200000	-63.52494822	0.18012940	-1.69390639	233.01616766
0.25400000	-63.88858996	0.17673456	-1.70084794	233.90047916
0.25600000	-64.24545623	0.17332633	-1.70730277	234.71849189
0.25800000	-64.59551926	0.16990567	-1.71327366	235.47060074
0.26000000	-64.93875325	0.16647356	-1.71876351	236.15721351
0.26200000	-65.27513431	0.16303094	-1.72377528	236.77875062
0.26400000	-65.60464047	0.15957877	-1.72831205	237.33564490
0.26600000	-65.92725169	0.15611800	-1.73237697	237.82834142
0.26800000	-66.24294981	0.15264958	-1.73597330	238.25729721
0.27000000	-66.55171859	0.14917442	-1.73910436	238.62298108
0.27200000	-66.85354362	0.14569347	-1.74177358	238.92587336
0.27400000	-67.14841240	0.14220763	-1.74398448	239.16646570
0.27600000	-67.43631423	0.13871783	-1.74574063	239.34526086
0.27800000	-67.71724027	0.13522497	-1.74704570	239.46277244
0.28000000	-67.99118350	0.13172995	-1.74790345	239.51952469
0.28200000	-68.25813870	0.12823365	-1.74831770	239.51605228
0.28400000	-68.51810244	0.12473697	-1.74829235	239.45290004
0.28600000	-68.77107304	0.12124077	-1.74783139	239.33062278
0.28800000	-69.01705063	0.11774593	-1.74693885	239.14978504
0.29000000	-69.25603703	0.11425330	-1.74561887	238.91096083
0.29200000	-69.48803582	0.11076374	-1.74387563	238.61473347
0.29400000	-69.71305227	0.10727808	-1.74171338	238.26169530
0.29600000	-69.93109336	0.10379716	-1.73913646	237.85244747
0.29800000	-70.14216774	0.10032181	-1.73614925	237.38759973
0.30000000	-70.34628571	0.09685283	-1.73275620	236.86777016
0.30200000	-70.54345921	0.09339105	-1.72896183	236.29358499
0.30400000	-70.73370182	0.08993725	-1.72477069	235.66567832
0.30600000	-70.91702872	0.08649223	-1.72018743	234.98469193
0.30800000	-71.09345667	0.08305676	-1.71521673	234.25127504
0.31000000	-71.26300399	0.07963162	-1.70986332	233.46608406
0.31200000	-71.42569058	0.07621756	-1.70413200	232.62978239
0.31400000	-71.58153784	0.07281534	-1.69802761	231.74304018
0.31600000	-71.73056869	0.06942569	-1.69155504	230.80653410
0.31800000	-71.87280756	0.06604936	-1.68471923	229.82094710
0.32000000	-72.00828033	0.06268705	-1.67752516	228.78696823
0.32200000	-72.13701434	0.05933949	-1.66997787	227.70529235
0.32400000	-72.25903837	0.05600738	-1.66208243	226.57661994
0.32600000	-72.37438260	0.05269139	-1.65384394	225.40165688
0.32800000	-72.48307862	0.04939222	-1.64526757	224.18111420
0.33000000	-72.58515937	0.04611054	-1.63635850	222.91570790
0.33200000	-72.68065917	0.04284701	-1.62712196	221.60615865
0.33400000	-72.76961363	0.03960227	-1.61756320	220.25319166
0.33600000	-72.85205972	0.03637697	-1.60768753	218.85753638
0.33800000	-72.92803567	0.03317173	-1.59750027	217.41992634
0.34000000	-72.99758096	0.02998717	-1.58700676	215.94109889
0.34200000	-73.06073636	0.02682390	-1.57621240	214.42179500
0.34400000	-73.11754383	0.02368252	-1.56512259	212.86275902
0.34600000	-73.16804654	0.02056360	-1.55374277	211.26473852
0.34800000	-73.21228887	0.01746774	-1.54207838	209.62848399
0.35000000	-73.25031632	0.01439548	-1.53013492	207.95474871
