m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0 m/s² Software-Null	0 m/s² Software-Null	0 m/s² Software-Null	0 mm Software-Null	0 m/s² Software-Null	0 m/s² Software-Null	0 m/s² Software-Null	0 m/s² Software-Null	0 m/s² Software-Null	0 m/s² Software-Null
k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0	k Faktor = 0
Brückenfaktor = 0	Brückenfaktor = 1	Brückenfaktor = 0	Brückenfaktor = 0	Brückenfaktor = 1	Brückenfaktor = 1	Brückenfaktor = 1	Brückenfaktor = 1	Brückenfaktor = 1	Brückenfaktor = 1
Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine	Software Skalierung: Keine
Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein	Sensor: Kein
Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine	Sensor T-ID: Keine
Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar	Kabellängenkorrektur Nicht verfügbar

0,07016	-0,18313	-3,48591	-1,57266	-0,24197	0,03868	-2,11146	-0,29394	0,03907	-2,11932
0,01607	-0,38255	-3,97263	-1,71521	-0,20126	0,04723	-2,19465	-0,30760	0,04466	-2,25134
0,14820	-0,51641	-4,24247	-1,68908	-0,07750	0,08655	-1,91994	-0,09862	0,11257	-1,79805
0,07159	-0,27773	-3,69010	-1,50878	-0,18584	0,04570	-1,69630	-0,21401	0,03176	-1,83235
0,06786	0,09544	-2,90523	-1,17499	-0,07130	0,05196	-0,95485	-0,13124	0,08872	-0,87743
0,16826	0,73281	-1,56729	-0,73721	0,03059	-0,01162	-0,31365	0,05789	-0,00657	-0,41564
0,08320	1,45589	-0,02823	-0,23400	-0,02351	-0,03498	0,46067	0,02798	-0,01619	0,38444
0,15563	2,15362	1,42924	0,28114	0,15448	-0,04825	1,23992	0,18926	-0,00633	1,24447
0,11938	2,89906	2,97289	0,74072	0,08622	-0,11285	1,70995	0,14839	-0,09456	1,50476
0,12659	3,37125	3,99081	1,10293	0,16245	-0,01621	2,23877	0,29046	0,03724	2,28383
0,23831	3,76779	4,79492	1,31056	0,26106	-0,08808	2,25217	0,32913	-0,07630	2,09186
0,07667	3,85583	4,95380	1,35236	0,04412	-0,04877	2,17100	0,11551	0,00085	2,12126
0,18911	3,63510	4,45727	1,22074	0,21479	-0,04813	1,80881	0,31482	-0,00657	1,80669
0,20674	3,27659	3,70237	0,92457	0,14677	-0,09102	1,13120	0,20550	-0,08884	1,03588
0,01445	2,68375	2,43000	0,50589	-0,07712	-0,03664	0,54310	-0,06743	0,01424	0,60193
0,17117	2,04120	1,07307	0,00324	0,08243	-0,02808	-0,26169	0,09966	-0,02385	-0,31573
0,19982	1,34169	-0,35404	-0,52124	-0,04463	0,02579	-0,88835	-0,03803	0,04101	-0,81632
-0,01505	0,71456	-1,64263	-1,02140	-0,24917	0,03332	-1,48493	-0,33081	0,05257	-1,49303
0,12893	0,21656	-2,73221	-1,44571	-0,05765	0,06332	-1,88391	-0,10700	0,05403	-1,89384
0,13958	-0,19409	-3,54029	-1,75409	-0,15246	0,09447	-2,04244	-0,17843	0,09979	-1,95044
-0,01482	-0,32982	-3,85664	-1,92584	-0,26523	0,04136	-2,13649	-0,36523	0,03724	-2,23432
0,10557	-0,39391	-3,94216	-1,93212	-0,08255	0,06396	-1,85217	-0,13524	0,08069	-1,77717
0,13724	-0,21049	-3,50971	-1,78628	-0,10885	0,03906	-1,58341	-0,11745	0,02312	-1,64051
0,03919	0,16333	-2,80193	-1,49808	-0,14639	0,00089	-1,04777	-0,19016	0,01886	-1,09260
0,13776	0,59018	-1,82456	-1,09687	0,02313	0,00332	-0,40555	0,01083	0,03067	-0,39179
0,11807	1,23536	-0,44310	-0,62901	-0,02453	-0,01532	0,15297	0,00567	-0,01667	0,01289
0,12529	1,84154	0,77836	-0,12797	0,07307	-0,00166	0,93361	0,11706	0,05002	0,96072
0,16057	2,48339	2,14872	0,34408	0,13034	-0,06408	1,37658	0,16412	-0,04758	1,22371
0,09031	3,01010	3,25365	0,74709	0,08394	-0,02221	1,83245	0,17495	0,00755	1,78207
0,19992	3,37271	3,94141	1,03438	0,23008	-0,07328	2,08795	0,32772	-0,02775	2,05938
0,12198	3,58404	4,41229	1,17374	0,10442	-0,10545	1,96797	0,16502	-0,08190	1,80643
0,08872	3,49185	4,22258	1,16442	0,12553	-0,02655	1,86545	0,21195	0,02543	1,93368
0,22029	3,34831	3,83148	0,99498	0,19557	-0,08540	1,39529	0,27705	-0,07290	1,28147
0,07424	2,97615	3,07003	0,69399	-0,01833	-0,03243	0,94650	0,01495	0,01314	0,95839
0,11271	2,47182	2,00833	0,28716	0,05335	0,00102	0,35701	0,06936	0,03225	0,36833
