m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	mm       (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)	m/s²     (Physik.)
200 m/s² Endwert	200 m/s² Endwert	200 m/s² Endwert	20 mm Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert	490,5 m/s² Endwert
Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214	Bruttosignal ID=214
Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0	Skalierung = Physikalisch ID=0
2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2.5 V Speisung ID=13	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16	2...20 mA ID=16
Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142	Filter = Bessel Tiefpaß ID=142
fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941	fg = 10 Hz ID=941
0,22846	2,60255	2,38453	0,29463	0,14601	-0,05311	0,98405	0,20434	-0,05537	0,89806
0,05641	2,64232	2,40896	0,24919	-0,03628	-0,02898	0,95611	-0,00709	0,00292	0,92217
0,13760	2,53773	2,14542	0,12349	0,12035	-0,01711	0,77685	0,17533	0,00438	0,75483
0,17482	2,33229	1,76422	-0,07545	0,05512	-0,04034	0,43956	0,10030	-0,03274	0,38753
0,01698	2,02112	1,12253	-0,32627	-0,09621	0,00894	0,11770	-0,10352	0,03797	0,12673
0,17440	1,70042	0,37893	-0,60699	0,07573	-0,00689	-0,25208	0,10082	0,00037	-0,27679
0,15289	1,33242	-0,32091	-0,89003	-0,07370	-0,00319	-0,58886	-0,05801	0,00998	-0,57228
-0,00810	1,02813	-0,98674	-1,15045	-0,17585	0,01123	-0,87849	-0,22870	0,02860	-0,89999
0,16549	0,78250	-1,56010	-1,36090	0,03097	0,03460	-1,02071	0,03520	0,03858	-1,00545
0,12023	0,61419	-1,85047	-1,50629	-0,11454	0,02808	-1,10617	-0,11680	0,03128	-1,11310
-0,01990	0,57477	-1,96104	-1,57328	-0,17459	0,02349	-1,07254	-0,22535	0,03395	-1,10743
0,16534	0,59026	-1,92068	-1,55395	0,02655	0,02196	-0,90656	0,02501	0,03262	-0,90115
0,10740	0,69482	-1,58990	-1,45691	-0,11732	0,01289	-0,76143	-0,11409	0,01448	-0,81375
0,04995	0,89109	-1,24398	-1,28738	-0,09216	0,00357	-0,46168	-0,11216	0,02896	-0,48113
0,17328	1,13721	-0,76911	-1,06320	0,07244	-0,00855	-0,16270	0,09218	0,00682	-0,19854
0,06177	1,43622	-0,09909	-0,80595	-0,07219	0,00268	0,14614	-0,04422	0,02105	0,08573
0,10302	1,76982	0,54904	-0,53644	0,06599	0,00051	0,54955	0,09862	0,03614	0,54327
0,17148	2,12227	1,35214	-0,28591	0,08546	-0,04353	0,78317	0,12247	-0,02836	0,67632
0,06284	2,40104	1,94146	-0,07460	-0,00392	-0,00983	1,04018	0,05440	0,02081	1,01525
0,22714	2,61346	2,35661	0,07102	0,18116	-0,05221	1,15232	0,24572	-0,03237	1,10730
0,14247	2,70888	2,56917	0,13537	0,03173	-0,06664	1,08190	0,07916	-0,04332	0,98341
0,07133	2,61406	2,35685	0,11833	0,04918	-0,02425	0,98380	0,09811	0,00949	1,00016
0,21831	2,49151	2,06135	0,01726	0,14715	-0,05183	0,66800	0,20846	-0,05172	0,59690
0,07096	2,23026	1,52682	-0,14826	-0,07547	-0,02349	0,36143	-0,06588	0,00535	0,33713
0,10302	1,87711	0,77419	-0,35701	0,01201	0,01072	0,00000	0,02462	0,03736	0,01070
0,24174	1,54195	0,12771	-0,58639	0,04880	-0,01111	-0,39102	0,08431	-0,01205	-0,41912
0,04049	1,19781	-0,56810	-0,80583	-0,17332	0,02017	-0,65940	-0,20473	0,04904	-0,64550
0,10971	0,92966	-1,19484	-0,99117	-0,02453	0,01608	-0,91566	-0,04938	0,02081	-0,94421
0,18815	0,70372	-1,66409	-1,11945	-0,02288	0,02413	-1,02602	-0,00400	0,02787	-1,00171
0,03135	0,58211	-1,87820	-1,17786	-0,19633	0,01494	-1,08253	-0,24031	0,03055	-1,12212
0,10482	0,55922	-1,95521	-1,15244	-0,03616	0,01328	-0,98392	-0,06523	0,02434	-0,99153
0,16563	0,63927	-1,76164	-1,04589	-0,02212	0,03230	-0,79050	-0,00645	0,03554	-0,79312
0,01286	0,87727	-1,32596	-0,86825	-0,12958	0,01085	-0,51984	-0,15251	0,02945	-0,58942
0,13445	1,13578	-0,75898	-0,63106	0,06966	0,00804	-0,11782	0,07967	0,02726	-0,10597
0,13302	1,50732	0,07198	-0,36440	-0,00468	-0,02464	0,17307	0,02720	-0,02531	0,06678
0,06750	1,82638	0,70198	-0,08622	0,00354	-0,01417	0,56181	0,03365	0,01923	0,54018
0,17393	2,08789	1,28026	0,17260	0,13577	-0,05106	0,74373	0,17185	-0,04223	0,67670
0,07284	2,31552	1,72896	0,39166	-0,01150	-0,03089	0,86547	0,03262	-0,01436	0,78126
0,13753	2,40091	1,87352	0,55834	0,11201	-0,01379	0,98304	0,16540	0,02763	1,00055
0,18641	2,46255	2,04120	0,65499	0,10189	-0,04991	0,83766	0,14259	-0,03980	0,72337
0,04484	2,42833	1,95734	0,68732	-0,03198	-0,00204	0,83399	-0,00606	0,03907	0,85913
0,20615	2,39849	1,83727	0,64889	0,15840	-0,02911	0,68545	0,21478	-0,00949	0,63648
0,15208	2,29872	1,68448	0,54710	0,01858	-0,05260	0,49923	0,05079	-0,03310	0,45354
0,04964	2,10891	1,28648	0,39405	-0,02882	-0,01353	0,30543	-0,02488	0,01643	0,31070
0,22354	1,92865	0,85852	0,20021	0,11744	-0,04813	0,02364	0,15509	-0,04685	-0,02823
0,10797	1,64927	0,33729	-0,01345	-0,09684	-0,00345	-0,21592	-0,08586	0,02154	-0,20215
0,04643	1,40969	-0,21695	-0,22926	-0,07535	0,00140	-0,48608	-0,11822	0,02118	-0,52367
0,21409	1,16909	-0,71195	-0,42413	0,05702	0,04200	-0,63905	0,08844	0,04710	-0,60786
0,05529	1,00331	-1,01966	-0,58572	-0,16700	0,01826	-0,80744	-0,19222	0,02994	-0,85216
0,06497	0,89948	-1,28214	-0,69583	-0,05651	0,05272	-0,78140	-0,09437	0,07411	-0,76024
0,19302	0,89169	-1,26831	-0,75204	0,01606	0,00549	-0,74878	0,02475	0,00621	-0,77520
0,06500	0,97247	-1,10122	-0,75284	-0,13792	0,00779	-0,61174	-0,14207	0,02373	-0,64873
0,10102	1,06513	-0,90388	-0,70074	-0,00961	-0,01417	-0,42287	-0,02991	0,00304	-0,43008
0,16284	1,23063	-0,53544	-0,60872	0,01075	-0,01123	-0,25815	0,03610	-0,00742	-0,31753
0,04266	1,40156	-0,19695	-0,48595	-0,08698	-0,00332	-0,01593	-0,08161	0,02446	-0,04461
0,13422	1,58435	0,15935	-0,34817	0,08584	0,01021	0,14854	0,10249	0,02081	0,10907
0,11951	1,76794	0,58570	-0,20957	-0,01188	-0,01647	0,31339	0,00735	0,00280	0,25668
0,08284	1,90388	0,88831	-0,08307	-0,00721	-0,00166	0,45410	0,02578	0,02921	0,41809
0,21052	2,00898	1,14992	0,01876	0,11782	-0,03600	0,51061	0,15342	-0,02385	0,47069
0,09161	2,09219	1,29133	0,08656	-0,03578	-0,02566	0,52199	-0,01302	-0,00037	0,46282
0,12589	2,10987	1,25557	0,11792	0,05651	-0,02668	0,53374	0,08831	0,00657	0,52045
0,21461	2,07292	1,24539	0,10775	0,08824	-0,02604	0,40201	0,13601	-0,01862	0,35298
0,05727	2,00943	1,08172	0,06174	-0,07067	-0,01264	0,30240	-0,07361	0,01716	0,26841
0,14997	1,87635	0,78102	-0,01337	0,07206	0,00332	0,19469	0,10236	0,03042	0,19415
0,16698	1,74661	0,57224	-0,11130	-0,00607	-0,02643	-0,02908	0,02127	-0,01972	-0,09334
0,04479	1,57878	0,19102	-0,21594	-0,08129	0,01634	-0,13969	-0,09592	0,04466	-0,12763
0,17086	1,44828	-0,14357	-0,31875	0,05499	-0,01455	-0,29658	0,07258	-0,00572	-0,32733
0,10826	1,31755	-0,36005	-0,40740	-0,07661	-0,00064	-0,38975	-0,05531	0,01412	-0,40545
0,05779	1,24786	-0,52995	-0,47275	-0,07244	0,01277	-0,39228	-0,09850	0,04162	-0,39579
0,17258	1,26469	-0,49729	-0,51234	0,03919	-0,00026	-0,35549	0,05750	0,00718	-0,37335
0,11352	1,34044	-0,27667	-0,52680	-0,08736	0,00447	-0,25916	-0,07245	0,01655	-0,29871
0,11529	1,44042	-0,11000	-0,51986	-0,00708	0,00996	-0,09835	-0,01379	0,03858	-0,11061
0,18031	1,55182	0,17542	-0,50208	0,04450	-0,01481	0,00872	0,06923	-0,00742	-0,02901
0,09042	1,70409	0,47667	-0,48218	-0,06650	-0,01226	0,13261	-0,04538	0,00767	0,07374
0,15443	1,78432	0,60586	-0,46689	0,06473	-0,00957	0,25916	0,08612	0,01582	0,25668
0,13849	1,85872	0,77492	-0,46852	-0,00013	-0,04481	0,22566	0,02398	-0,03237	0,14078
0,07589	1,86411	0,81362	-0,48640	-0,04361	0,00000	0,26763	-0,02527	0,02860	0,26068
0,17341	1,84880	0,69849	-0,52511	0,09722	-0,01379	0,20682	0,12944	0,00024	0,17314
0,09596	1,79294	0,63141	-0,58230	-0,05145	-0,02477	0,10442	-0,03055	-0,00462	0,05118
0,06172	1,70115	0,43818	-0,65097	-0,04008	0,00868	0,04779	-0,03481	0,03833	0,04693
0,20911	1,62375	0,27273	-0,72795	0,08584	-0,01417	-0,07231	0,11874	-0,00803	-0,11551
0,06940	1,53646	0,10529	-0,80493	-0,11100	-0,01021	-0,14260	-0,10043	0,01619	-0,16038
0,08734	1,46237	-0,07333	-0,87531	-0,01884	0,00613	-0,21276	-0,02733	0,02446	-0,24198
0,20690	1,38336	-0,23682	-0,93249	0,05335	-0,00536	-0,27913	0,08290	0,00122	-0,29858
0,04977	1,30870	-0,35909	-0,97124	-0,13072	0,00370	-0,33413	-0,13073	0,02397	-0,36729
0,10003	1,27000	-0,50247	-0,98441	0,00202	0,00051	-0,33767	-0,00825	0,01984	-0,35982
0,16401	1,22664	-0,54667	-0,96976	0,00088	-0,00217	-0,33855	0,03262	0,00852	-0,35569
0,03956	1,26747	-0,47292	-0,92684	-0,11125	-0,00204	-0,28002	-0,11861	0,02203	-0,32230
0,13336	1,33182	-0,37211	-0,85593	0,05246	0,01174	-0,13540	0,05595	0,03602	-0,13356
0,12703	1,45716	-0,04151	-0,76752	-0,02111	-0,01468	-0,04248	0,00877	-0,00499	-0,10984
0,07477	1,59341	0,23487	-0,66645	-0,02958	0,01098	0,14007	-0,01805	0,03797	0,11758
0,17786	1,73221	0,48938	-0,56603	0,08938	-0,02425	0,25954	0,10945	-0,00694	0,22406
0,08456	1,85292	0,78813	-0,47729	-0,05221	-0,03153	0,32047	-0,01521	-0,01679	0,24637
0,10878	1,92570	0,88672	-0,40474	0,04678	-0,01021	0,43185	0,06704	0,02373	0,43549
0,18654	1,97367	1,03935	-0,36072	0,07800	-0,02949	0,37711	0,11564	-0,02397	0,30825
0,04781	1,97802	1,01104	-0,34356	-0,05613	-0,01698	0,34626	-0,03236	0,00341	0,30167
0,16776	1,89607	0,82596	-0,35204	0,08723	0,01047	0,29595	0,11642	0,03992	0,30167
0,14552	1,81901	0,70979	-0,38671	-0,00139	-0,03625	0,10809	0,01869	-0,03164	0,04035
0,03966	1,71768	0,44432	-0,43417	-0,06789	0,01021	0,04071	-0,06240	0,03663	0,03558
0,17310	1,60427	0,14758	-0,48889	0,08457	-0,01404	-0,09924	0,10236	0,00110	-0,12918
0,10661	1,46227	-0,07120	-0,54146	-0,06435	-0,02145	-0,24955	-0,03868	-0,00986	-0,27885
0,05010	1,35081	-0,33852	-0,57984	-0,06220	-0,00115	-0,31327	-0,08431	0,02410	-0,32668
0,18411	1,26661	-0,52398	-0,59704	0,05803	0,01060	-0,37420	0,07903	0,01862	-0,39359
0,07539	1,23138	-0,55977	-0,58720	-0,10897	-0,00574	-0,37142	-0,10597	0,01278	-0,38857
0,09445	1,26247	-0,48367	-0,54820	-0,02807	0,02349	-0,30227	-0,04203	0,04320	-0,33494
0,21547	1,31677	-0,32805	-0,48128	0,05752	-0,00434	-0,19014	0,08535	0,00718	-0,19622
0,10273	1,42734	-0,04768	-0,39484	-0,08495	-0,00536	-0,10430	-0,06781	0,00682	-0,16837
0,13815	1,53185	0,07956	-0,29143	0,03957	-0,01047	0,03477	0,03339	0,01400	0,01083
0,17073	1,57409	0,21604	-0,18121	0,02933	-0,02489	0,07155	0,07722	-0,01387	0,04061
0,06219	1,65115	0,34409	-0,06940	-0,06662	-0,02451	0,10569	-0,05750	-0,00377	0,04087
0,14352	1,66776	0,32719	0,04270	0,07294	0,01404	0,20480	0,09218	0,04758	0,22858
0,11323	1,73727	0,47323	0,14452	-0,00683	-0,03562	0,17003	0,02527	-0,02324	0,08805
0,07008	1,80888	0,63464	0,23737	-0,01100	0,02668	0,31466	0,01173	0,05951	0,33249
0,22146	1,94188	0,92352	0,30887	0,11669	-0,02962	0,38899	0,14748	-0,01193	0,34925
0,11570	2,05901	1,20427	0,35184	-0,03173	-0,04200	0,44297	0,01650	-0,02397	0,38264
0,11492	2,10148	1,26701	0,36180	0,05335	-0,02081	0,50340	0,07464	0,00694	0,49841
0,19755	2,11797	1,30820	0,32997	0,09039	-0,04136	0,40998	0,13021	-0,03529	0,35079
0,06810	2,06216	1,17914	0,26067	-0,06561	-0,02834	0,32692	-0,04461	-0,00219	0,29884
0,13810	1,93922	0,88409	0,15799	0,07016	0,01302	0,19317	0,09089	0,03602	0,18616
0,15042	1,78802	0,59586	0,02925	0,02023	-0,01736	-0,00973	0,04925	-0,01253	-0,04009
0,01503	1,62680	0,27565	-0,11197	-0,10897	0,01813	-0,16321	-0,11216	0,03919	-0,18307
0,17484	1,48737	-0,06469	-0,25240	0,06144	0,01506	-0,26409	0,06768	0,03395	-0,25823
0,16188	1,36057	-0,25419	-0,38385	-0,04589	-0,01506	-0,41516	-0,02050	-0,01339	-0,45032
0,06464	1,28503	-0,45044	-0,49348	-0,09380	0,00166	-0,43969	-0,10971	0,01801	-0,45599
0,17247	1,21453	-0,62914	-0,57456	0,03666	0,00357	-0,47003	0,04615	0,01314	-0,48564
0,10604	1,16852	-0,67523	-0,62394	-0,08002	-0,00396	-0,49278	-0,06523	0,00037	-0,51723
0,06047	1,17375	-0,68253	-0,63746	-0,07914	0,02094	-0,42806	-0,09914	0,03992	-0,45290
0,16685	1,18977	-0,62935	-0,61531	0,02807	0,00830	-0,36561	0,03971	0,01643	-0,38534
0,09617	1,24331	-0,46768	-0,56149	-0,07433	0,01672	-0,27863	-0,05376	0,02543	-0,31315
0,08167	1,35224	-0,32031	-0,47938	-0,01150	0,01174	-0,14260	-0,02256	0,03128	-0,17855
0,15672	1,44807	-0,07846	-0,37665	0,03590	-0,01174	-0,00860	0,06304	0,00280	-0,02205
0,08016	1,59880	0,25466	-0,26494	-0,05259	-0,02272	0,09444	-0,03133	-0,00961	0,02127
0,13794	1,72456	0,45596	-0,14978	0,05689	-0,00728	0,28482	0,07800	0,02385	0,29265
0,13984	1,84185	0,75466	-0,04773	0,01681	-0,04225	0,31478	0,04718	-0,03030	0,24095
0,08227	1,94547	0,95622	0,03657	-0,00177	0,00332	0,41782	0,02746	0,02580	0,38882
0,19690	1,99497	1,05185	0,09441	0,10695	-0,00945	0,46940	0,14310	0,01594	0,46141
0,08948	2,03297	1,14500	0,11798	-0,03654	-0,03932	0,37875	-0,00954	-0,02458	0,28917
0,10456	1,97870	1,02711	0,11286	0,03388	0,01238	0,37521	0,05556	0,04101	0,39205
0,20255	1,92680	0,90565	0,07486	0,07143	-0,03179	0,22869	0,10610	-0,02093	0,18023
0,09487	1,84315	0,76721	0,01306	-0,08141	-0,01506	0,12958	-0,06820	0,01217	0,10404
0,15661	1,75596	0,52352	-0,06552	0,04627	0,00281	0,06852	0,05376	0,03176	0,07658
0,20203	1,70245	0,42898	-0,15852	0,03654	-0,01877	-0,03375	0,07606	-0,01375	-0,07013
0,07120	1,65617	0,36497	-0,25776	-0,08710	0,00089	-0,05904	-0,09012	0,02519	-0,08148
0,17458	1,62341	0,24682	-0,35955	0,05171	-0,00038	-0,06599	0,05324	0,02312	-0,07258
0,14935	1,58503	0,21737	-0,46299	-0,02604	-0,02898	-0,12996	0,00606	-0,02276	-0,16270
0,05503	1,56885	0,14479	-0,56361	-0,06296	0,00945	-0,14083	-0,06820	0,02787	-0,17495
0,14854	1,51852	-0,00724	-0,65795	0,05335	0,00115	-0,15170	0,05660	0,02020	-0,15896
0,10336	1,45820	-0,04932	-0,74557	-0,07219	-0,01328	-0,24311	-0,04216	-0,00742	-0,28633
0,07357	1,42724	-0,16508	-0,81938	-0,04968	0,01315	-0,23628	-0,06330	0,03432	-0,25500
0,19211	1,37206	-0,24792	-0,87718	0,03793	-0,00064	-0,27054	0,04577	0,00755	-0,28453
0,08570	1,34875	-0,27477	-0,91685	-0,10430	-0,00574	-0,29607	-0,08496	0,00438	-0,33442
0,09776	1,34435	-0,33534	-0,93388	-0,01214	0,02477	-0,23704	-0,02037	0,04454	-0,24546
0,17516	1,36339	-0,28404	-0,93068	0,03413	0,00140	-0,20695	0,05002	0,00682	-0,23025
0,05208	1,41742	-0,12607	-0,90948	-0,10619	0,00268	-0,14766	-0,09076	0,01327	-0,19286
0,12326	1,49047	-0,04125	-0,87175	0,03628	0,00881	-0,03072	0,03545	0,02702	-0,04641
0,15107	1,54169	0,11242	-0,82535	0,01087	-0,02017	-0,00695	0,03726	-0,01509	-0,05144
0,05206	1,59802	0,23677	-0,77332	-0,06903	-0,00638	0,04968	-0,05840	0,01059	0,00451
0,18026	1,62547	0,28878	-0,71832	0,07560	-0,00140	0,12035	0,09630	0,01898	0,10842
0,14734	1,64977	0,39646	-0,66679	-0,02250	-0,03102	0,08786	0,00271	-0,02057	0,02901
0,07266	1,68734	0,42427	-0,61797	-0,03654	0,01519	0,15651	-0,02656	0,04101	0,14349
0,17026	1,86411	0,61208	-0,58085	0,06953	0,01008	0,51567	0,10610	0,09371	0,61211
0,06729	2,37612	1,95896	-0,59039	-0,05246	0,00447	0,95320	-0,00954	0,03578	0,90296
0,12078	3,16615	3,46839	-0,67649	0,16498	-0,03868	1,64067	0,22097	-0,01107	1,56187
0,26997	3,70695	4,69974	-0,88756	0,27699	-0,08668	2,09654	0,41126	-0,06852	2,08142
0,12398	4,14901	5,49836	-1,27443	0,11694	-0,17744	2,21095	0,21981	-0,14397	2,08439
0,17831	4,22102	5,81195	-1,86210	0,24083	-0,11106	2,15786	0,33506	-0,10709	2,18030
0,10880	3,88969	5,06625	-2,65377	0,02111	-0,19059	1,10592	0,06627	-0,24522	0,73846
-0,07419	2,59654	2,35232	-3,57509	-0,18647	0,12676	0,13767	-0,18732	0,19216	0,41306
0,03982	1,35805	-0,45883	-4,58132	-0,07522	0,11234	-1,46862	-0,15690	0,10649	-1,60609
0,12016	0,05497	-3,06026	-5,54740	-0,16245	0,19800	-2,51575	-0,18964	0,19155	-2,37549
-0,04021	-1,14117	-5,53339	-6,37771	-0,39367	0,05260	-3,64670	-0,52174	0,01911	-3,67694
0,01029	-2,27661	-7,93258	-6,96578	-0,32781	-0,01021	-4,67348	-0,50124	-0,07509	-4,78179
0,04906	-3,50977	-10,48216	-7,20503	-0,40909	0,05757	-5,18586	-0,51865	0,05732	-4,96614
-0,04070	-4,11898	-11,83081	-7,04131	-0,51086	0,08247	-5,53478	-0,71151	0,05781	-5,64994
-0,03258	-4,25818	-11,92060	-6,41186	-0,39822	0,27383	-4,82746	-0,57563	0,27528	-4,63946
-0,02914	-3,52685	-10,51495	-5,33856	-0,28925	0,27063	-3,82205	-0,42737	0,25362	-3,97230
0,04245	-2,34094	-7,94938	-3,86451	-0,08521	0,31251	-1,93005	-0,13614	0,35718	-1,83918
0,08365	-0,47411	-4,00648	-2,11665	0,09039	0,02694	0,13489	0,09244	0,06280	0,03197
0,08336	1,92138	1,06685	-0,24102	0,23122	-0,22085	2,60854	0,34190	-0,17318	2,42499
0,26781	4,44250	6,34477	1,57940	0,57281	-0,33842	5,14313	0,82909	-0,27309	5,06967
0,22471	6,90273	11,56964	3,13287	0,55473	-0,46493	6,95397	0,82419	-0,43142	6,59106
0,19172	8,66747	15,26378	4,26139	0,60985	-0,28008	8,24572	0,90219	-0,19374	8,11451
0,25188	9,55839	17,08914	4,82327	0,65650	-0,13213	8,15938	0,94628	-0,09042	7,86750
0,16044	9,28766	16,43107	4,77022	0,49152	0,00153	7,07988	0,72299	0,05257	6,94482
0,20346	7,94755	13,46370	4,13071	0,43450	-0,00957	5,07878	0,59329	0,05768	5,07302
0,21307	5,94154	9,27240	3,00337	0,22591	-0,13813	2,50222	0,35969	-0,10661	2,50157
0,23833	3,64508	4,37651	1,55040	0,08394	-0,16710	0,02908	0,13782	-0,11294	0,19067
0,26263	1,43932	-0,27883	-0,06099	-0,04994	-0,15830	-2,25773	-0,09540	-0,12766	-2,15697
0,13034	-0,50839	-4,32784	-1,65224	-0,30101	-0,02528	-3,97577	-0,40417	-0,01351	-3,78652
0,01615	-1,97370	-7,36180	-3,07661	-0,43830	0,10034	-5,12594	-0,61250	0,09140	-5,01965
0,04792	-2,96927	-9,40125	-4,21167	-0,39936	0,27753	-5,71392	-0,61572	0,23561	-5,63885
-0,05148	-3,57456	-10,66216	-4,97273	-0,52881	0,32246	-5,80317	-0,73227	0,29208	-5,72020
-0,06133	-3,78630	-11,02570	-5,31556	-0,49380	0,28710	-5,55172	-0,69346	0,24279	-5,54899
-0,04771	-3,66427	-10,71625	-5,21994	-0,44361	0,23195	-4,92480	-0,63442	0,19995	-4,92373
-0,02729	-3,18651	-9,72070	-4,70071	-0,36320	0,15140	-3,96326	-0,48448	0,14080	-3,96933
0,07641	-2,32513	-7,87318	-3,80804	-0,16839	0,05336	-2,68654	-0,23451	0,04625	-2,72899
0,09044	-1,04549	-5,22456	-2,61698	-0,05815	-0,05885	-1,08771	-0,06794	-0,03006	-1,15616
0,13003	0,57732	-1,74010	-1,23995	0,09987	-0,10264	0,80719	0,15574	-0,06024	0,76708
0,15758	2,54651	2,35206	0,18945	0,23780	-0,18281	2,64862	0,34925	-0,14275	2,42486
0,19159	4,40839	6,35005	1,52553	0,37193	-0,14923	4,50206	0,54147	-0,08397	4,45562
0,14583	6,15286	9,90029	2,60979	0,37749	-0,16991	5,63212	0,56532	-0,12292	5,30894
0,22471	7,19549	12,15740	3,33606	0,50808	-0,07213	6,33413	0,75315	-0,00292	6,28564
0,22727	7,61422	12,91891	3,61175	0,44803	-0,15127	5,95019	0,66123	-0,11427	5,69919
0,17773	7,17138	11,92487	3,42812	0,35183	-0,14106	4,96286	0,53025	-0,08263	4,89189
0,24690	6,00378	9,42240	2,81731	0,32047	-0,14310	3,39058	0,47546	-0,08993	3,42451
0,14714	4,53240	6,24148	1,86442	0,07977	-0,17298	1,36217	0,14426	-0,15042	1,25465
0,15409	2,68417	2,43052	0,69982	0,01188	0,01238	-0,34171	0,01547	0,07703	-0,08767
0,18128	1,10576	-0,98622	-0,55717	-0,10948	-0,00026	-2,19894	-0,17482	0,00134	-2,27171
0,05945	-0,43065	-4,04891	-1,75539	-0,31681	0,14796	-3,31371	-0,41809	0,17853	-3,06728
0,06448	-1,49341	-6,35099	-2,79927	-0,32111	0,12345	-4,25718	-0,47701	0,09882	-4,25592
0,08167	-2,25990	-7,86729	-3,58736	-0,35941	0,14566	-4,65427	-0,49905	0,12158	-4,59872
0,02427	-2,73490	-8,82586	-4,05837	-0,43324	0,13685	-4,59510	-0,57434	0,13131	-4,46593
-0,00297	-2,70625	-8,75909	-4,19030	-0,40303	0,07302	-4,40851	-0,57692	0,02604	-4,56288
0,05703	-2,50995	-8,32089	-3,96206	-0,28204	0,17502	-3,48198	-0,38135	0,19606	-3,29804
0,08289	-1,80469	-6,81435	-3,42591	-0,20518	0,07953	-2,70424	-0,28530	0,04369	-2,89607
0,08534	-0,88849	-4,84427	-2,61466	-0,13211	0,07136	-1,31249	-0,16618	0,10247	-1,27618
0,13688	0,32805	-2,30594	-1,62477	0,03805	0,00243	0,09570	0,06227	0,03055	0,04976
0,10620	1,84969	0,88547	-0,55929	0,07623	-0,09881	1,48986	0,13562	-0,07752	1,25594
0,16516	3,22672	3,80685	0,48719	0,26169	-0,07838	3,08957	0,39617	-0,00645	3,16564
0,14698	4,70089	6,81076	1,37076	0,26864	-0,20425	3,93013	0,39488	-0,18109	3,54828
0,18471	5,59195	8,75120	2,01517	0,37205	-0,04838	4,80938	0,57421	0,03188	4,88144
0,23180	6,17391	9,87050	2,32586	0,38634	-0,16876	4,65427	0,55230	-0,14872	4,37517
0,11758	6,08872	9,65419	2,28901	0,23678	-0,11196	4,19423	0,38276	-0,05038	4,13203
0,20451	5,37888	8,15266	1,91054	0,29329	-0,08974	3,16125	0,42492	-0,03505	3,17969
0,18901	4,41620	6,06977	1,23142	0,13223	-0,13098	1,63271	0,21865	-0,13070	1,48491
0,11068	3,02154	3,11987	0,34918	-0,01176	0,00932	0,36586	0,00967	0,07862	0,58079
0,13943	1,74185	0,38216	-0,64893	-0,04210	-0,02055	-1,27229	-0,07813	-0,03188	-1,39969
0,10424	0,41526	-2,38279	-1,63545	-0,18622	0,09983	-2,24736	-0,23154	0,13204	-2,02237
-0,00094	-0,60630	-4,48271	-2,53348	-0,32654	0,06587	-3,24380	-0,44877	0,05878	-3,26349
0,09966	-1,36398	-6,05339	-3,24667	-0,23780	0,08859	-3,73052	-0,35324	0,06693	-3,70092
0,09253	-1,93966	-7,15841	-3,71234	-0,32363	0,10519	-3,82811	-0,41499	0,10709	-3,68480
-0,00078	-2,01721	-7,35115	-3,90510	-0,37547	0,03600	-3,82622	-0,52148	-0,00426	-3,98416
0,04021	-1,97404	-7,25734	-3,79150	-0,25120	0,14489	-3,14368	-0,34383	0,16575	-2,99315
0,07583	-1,50771	-6,22273	-3,40688	-0,19974	0,10455	-2,58035	-0,26815	0,07302	-2,71674
0,04323	-0,79914	-4,76188	-2,77272	-0,16472	0,09574	-1,50073	-0,21143	0,11610	-1,50824
0,12745	0,10344	-2,82641	-1,95553	0,01188	0,02183	-0,36282	0,01985	0,05123	-0,38573
0,11044	1,29203	-0,29656	-1,04152	0,03603	-0,05017	0,76686	0,07658	-0,04211	0,58324
0,11846	2,46435	2,10063	-0,10533	0,16232	-0,07417	2,12524	0,25526	-0,00608	2,14549
0,15745	3,68432	4,71323	0,74262	0,24715	-0,16047	2,97415	0,35788	-0,14993	2,72731
