"   model_1"
"BLOCK: PART/2"

"Time      "	"Block_XFORM.Y"
0.000000e+000	-6.012353e-002
2.000000e-002	-2.376257e-001
4.000000e-002	-1.369056e+000
6.000000e-002	-4.054513e+000
8.000000e-002	-8.428612e+000
1.000000e-001	-1.408537e+001
1.200000e-001	-2.023127e+001
1.400000e-001	-2.652661e+001
1.600000e-001	-3.281258e+001
1.800000e-001	-3.893860e+001
2.000000e-001	-4.477367e+001
2.200000e-001	-5.020617e+001
2.400000e-001	-5.514415e+001
2.600000e-001	-5.951554e+001
2.800000e-001	-6.326813e+001
3.000000e-001	-6.636906e+001
3.200000e-001	-6.880384e+001
3.400000e-001	-7.057505e+001
3.600000e-001	-7.170076e+001
3.800000e-001	-7.221266e+001
4.000000e-001	-7.215413e+001
4.200000e-001	-7.157810e+001
4.400000e-001	-7.054496e+001
4.600000e-001	-6.912049e+001
4.800000e-001	-6.737374e+001
5.000000e-001	-6.537519e+001
5.200000e-001	-6.319487e+001
5.400000e-001	-6.090080e+001
5.600000e-001	-5.855756e+001
5.800000e-001	-5.622502e+001
6.000000e-001	-5.395741e+001
6.200000e-001	-5.180253e+001
6.400000e-001	-4.980117e+001
6.600000e-001	-4.798681e+001
6.800000e-001	-4.638549e+001
7.000000e-001	-4.501584e+001
7.200000e-001	-4.388933e+001
7.400000e-001	-4.301065e+001
7.600000e-001	-4.237819e+001
7.800000e-001	-4.198465e+001
8.000000e-001	-4.181777e+001
8.200000e-001	-4.186100e+001
8.400000e-001	-4.209433e+001
8.600000e-001	-4.249506e+001
8.800000e-001	-4.303858e+001
9.000000e-001	-4.369912e+001
9.200000e-001	-4.445048e+001
9.400000e-001	-4.526667e+001
9.600000e-001	-4.612252e+001
9.800000e-001	-4.699419e+001
1.000000e+000	-4.785963e+001
1.020000e+000	-4.869892e+001
1.040000e+000	-4.949457e+001
1.060000e+000	-5.023169e+001
1.080000e+000	-5.089813e+001
1.100000e+000	-5.148451e+001
1.120000e+000	-5.198420e+001
1.140000e+000	-5.239319e+001
1.160000e+000	-5.271002e+001
1.180000e+000	-5.293551e+001
1.200000e+000	-5.307258e+001
1.220000e+000	-5.312599e+001
1.240000e+000	-5.310202e+001
1.260000e+000	-5.300824e+001
1.280000e+000	-5.285318e+001
1.300000e+000	-5.264604e+001
1.320000e+000	-5.239644e+001
1.340000e+000	-5.211411e+001
1.360000e+000	-5.180870e+001
1.380000e+000	-5.148951e+001
1.400000e+000	-5.116535e+001
1.420000e+000	-5.084433e+001
1.440000e+000	-5.053377e+001
1.460000e+000	-5.024007e+001
1.480000e+000	-4.996865e+001
1.500000e+000	-4.972393e+001
1.520000e+000	-4.950929e+001
1.540000e+000	-4.932707e+001
1.560000e+000	-4.917867e+001
1.580000e+000	-4.906454e+001
1.600000e+000	-4.898428e+001
1.620000e+000	-4.893673e+001
1.640000e+000	-4.892006e+001
1.660000e+000	-4.893187e+001
1.680000e+000	-4.896931e+001
1.700000e+000	-4.902918e+001
1.720000e+000	-4.910803e+001
1.740000e+000	-4.920229e+001
1.760000e+000	-4.930832e+001
1.780000e+000	-4.942256e+001
1.800000e+000	-4.954156e+001
1.820000e+000	-4.966208e+001
1.840000e+000	-4.978113e+001
1.860000e+000	-4.989601e+001
1.880000e+000	-5.000440e+001
1.900000e+000	-5.010431e+001
1.920000e+000	-5.019414e+001
1.940000e+000	-5.027269e+001
1.960000e+000	-5.033910e+001
1.980000e+000	-5.039291e+001
2.000000e+000	-5.043399e+001


