"   model_1"
"BLOCK: PART/2"

"Time      "	"Block_XFORM.Y"	"Block_XFORM.Y"	"Block_XFORM.Y"
1.780000e+000	-4.961931e+001	-4.957012e+001	-4.952529e+001
1.800000e+000	-4.973704e+001	-4.969024e+001	-4.963478e+001
1.820000e+000	-4.985175e+001	-4.980822e+001	-4.974230e+001
1.840000e+000	-4.996100e+001	-4.992142e+001	-4.984538e+001
1.860000e+000	-5.006270e+001	-5.002757e+001	-4.994219e+001
1.880000e+000	-5.015513e+001	-5.012491e+001	-5.003127e+001
1.900000e+000	-5.023695e+001	-5.021195e+001	-5.011463e+001
1.920000e+000	-5.030719e+001	-5.028747e+001	-5.018532e+001
1.940000e+000	-5.036523e+001	-5.035078e+001	-5.024568e+001
1.960000e+000	-5.041081e+001	-5.040154e+001	-5.029901e+001
1.980000e+000	-5.044397e+001	-5.043955e+001	-5.033820e+001
2.000000e+000	-5.046506e+001	-5.046512e+001	-5.036703e+001


