 0.000000 0.000000 0.000000
 0.100000 -2.000000 -19.999999
 0.200000 17.999999 199.999989
 0.300000 -201.999988 -2199.999874
 0.400000 2197.999874 23999.998622
 0.500000 -24001.998622 -261999.984958
 0.600000 261997.984957 2859999.835795
 0.700000 -2860001.835795 -31219998.207522
 0.800000 31219996.207522 340799980.433165
 0.900000 -340799982.433165 -3720199786.406872
 1.000000 3720199784.406874 40609997668.400391
 1.100000 -40609997670.400406 -443301974548.072754
 1.200000 443301974546.072876 4839119722164.732422
 1.300000 -4839119722166.734375 -52824216967128.070312
 1.400000 52824216967126.093750 576633366892928.250000
 1.500000 -576633366892930.500000 -6294575838600566.000000
 1.600000 6294575838600566.000000 68712092054934960.000000
 1.700000 -68712092054934968.000000 -750066678935355392.000000
 1.800000 750066678935355648.000000 8187787709902905344.000000
 1.900000 -8187787709902907392.000000 -89378543888382623744.000000
 2.000000 89378543888382656512.000000 975663315982855569408.000000
 2.100000 -975663315982855831552.000000 -10650418598712384159744.000000
 2.200000 10650418598712390451200.000000 116260819146952455225344.000000
 2.300000 -116260819146952472002560.000000 -1269112377456648653897728.000000
 2.400000 1269112377456649190768640.000000 13853731966036014513782784.000000
 2.500000 -13853731966036018808750080.000000 -151228443434926672478994432.000000
 2.600000 151228443434926689658863616.000000 1650821754009626990186856448.000000
 2.700000 -1650821754009627539942670336.000000 -18020501974445541230863450112.000000
 2.800000 18020501974445545628909961216.000000 196713237284551726190968176640.000000
 2.900000 -196713237284551796559712354304.000000 -2147337392589973421886223155200.000000
 3.000000 2147337392589974266311153287168.000000 23440506298745259291702517039104.000000
 3.100000 -23440506298745263795302144409600.000000 -255878436913352394689881812500480.000000
 3.200000 255878436913352430718678831464448.000000 2793189432120976945139809758740480.000000
 3.300000 -2793189432120978098061314365587456.000000 -30490678690343303702532863136104448.000000
 3.400000 30490678690343312925904899990880256.000000 332838681224642874499095500752420864.000000
 3.500000 -332838681224642948286071795590627328.000000 -3633293599149862473769186402993438720.000000
 3.600000 3633293599149864244656617479110393856.000000 39661322803745068682799935774129127424.000000
 3.700000 -39661322803745078127532901513419554816.000000 -432946164028949447333727604273525555200.000000
